# generated by scripts/build_qto_index.py — do not edit
# <ifc_class>\t<Qto_SetName>\t<comma-separated quantities>
ifcmarinefacilityshipyard	Qto_MarineFacilityBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinefacilityslipway	Qto_MarineFacilityBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinefacilitywaterway	Qto_MarineFacilityBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinefacilitywaterwayshiplift	Qto_MarineFacilityBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepart	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartabovewaterline	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartanchorage	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartapproachchannel	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartbelowwaterline	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartberthingstructure	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartchamber	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartcilllevel	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartcopelevel	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartcore	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartcrest	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartgatehead	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartgudingstructure	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarineparthighwaterline	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartlandfield	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartleewardside	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartlowwaterline	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartmanufacturing	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartnavigationalarea	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartprotection	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartshiptransfer	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartstoragearea	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartvehicleservicing	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartwaterfield	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmarinepartweatherside	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcmember	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberarchsegment	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberbrace	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberchord	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembercollar	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembermember	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembermullion	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberplate	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberpost	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberpurlin	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberrafter	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstaycable	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstiffeningrib	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstringer	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstructuralcable	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstrut	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmemberstud	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembersuspender	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembersuspensioncable	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcmembertiebar	Qto_MemberBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcopeningelement	Qto_OpeningElementBaseQuantities	Area,Depth,Height,Volume,Width
ifcopeningelementopening	Qto_OpeningElementBaseQuantities	Area,Depth,Height,Volume,Width
ifcopeningelementrecess	Qto_OpeningElementBaseQuantities	Area,Depth,Height,Volume,Width
ifcpavement	Qto_PavementBaseQuantities	Depth,GrossArea,GrossVolume,Length,NetArea,NetVolume,Width
ifcpavementflexible	Qto_PavementBaseQuantities	Depth,GrossArea,GrossVolume,Length,NetArea,NetVolume,Width
ifcpavementrigid	Qto_PavementBaseQuantities	Depth,GrossArea,GrossVolume,Length,NetArea,NetVolume,Width
ifcpile	Qto_PileBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetVolume,OuterSurfaceArea
